Trait,TraitDef,trait.name,trait,error/CI,TraitUnit,T,AmbientTempUnit,Location,Latitude,Longitude,Consumer,ConCommon,ConStage,Resource,ResCommon,ResStage,Virus,Citation,FigureTable,Notes
Development time,Time to adult emergence at temperature x,adt,21.7,0.2,Days,8.5,Celsius,"Canberra, Australia",35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,Sonchus Oleruceus,Sowthistle Plant,Flower,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Development time,Time to adult emergence at temperature x,adt,17.3,0.1,Days,12.5,Celsius,"Canberra, Australia",35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,Sonchus Oleruceus,Sowthistle Plant,Flower,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Development time,Time to adult emergence at temperature x,adt,9.5,0.1,Days,17,Celsius,"Canberra, Australia",35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,Sonchus Oleruceus,Sowthistle Plant,Flower,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Development time,Time to adult emergence at temperature x,adt,7.1,0.1,Days,22,Celsius,"Canberra, Australia",35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,Sonchus Oleruceus,Sowthistle Plant,Flower,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Development time,Time to adult emergence at temperature x,adt,6.7,0.1,Days,24,Celsius,"Canberra, Australia",35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,Sonchus Oleruceus,Sowthistle Plant,Flower,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Development time,Time to adult emergence at temperature x,adt,12,0.2,Days,26,Celsius,"Canberra, Australia",35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,Sonchus Oleruceus,Sowthistle Plant,Flower,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Development time,Time to adult emergence at temperature x,adt,6.6,0.1,Days,26,Celsius,"Canberra, Australia",35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,Sonchus Oleruceus,Sowthistle Plant,Flower,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 2,
Development time,Time to adult emergence at temperature x,adt,6.1,0.1,Days,28,Celsius,"Canberra, Australia",35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,Sonchus Oleruceus,Sowthistle Plant,Flower,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 2,
Development rate,Rate at which the number of organisms in a population increases (1/development time),adr,0.05,,,8.5,Celsius,"Canberra, Australia",35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,Sonchus Oleruceus,Sowthistle Plant,Flower,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Development rate,Rate at which the number of organisms in a population increases (1/development time),adr,0.06,,,12.5,Celsius,"Canberra, Australia",35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,Sonchus Oleruceus,Sowthistle Plant,Flower,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
