ID,Trait,TraitDef,TraitValue,TraitUnit,Habitat,Labfield,AmbientTemp,AmbientTempUnit,ResRepUnit,Location,LocationType,Latitude,Longitude,Consumer,ConCommon,ConStage,ConThermy,ConDenUnit,Resource,ResCommon,ResStage,ResThermy,AcclimVarTempDurUnit,Citation,FigureTable,Notes
Shu-sheng and Hughes 1987,Development,Time to adult emergence at temperature x,17.3,Days,Terrestrial,Lab,12.5,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Development,Time to adult emergence at temperature x,9.5,Days,Terrestrial,Lab,17,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Development,Time to adult emergence at temperature x,7.1,Days,Terrestrial,Lab,22,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Development,Time to adult emergence at temperature x,6.7,Days,Terrestrial,Lab,24,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Development,Time to adult emergence at temperature x,12,Days,Terrestrial,Lab,26,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Mortality,% mortality in immature stages at temperature x,0,,Terrestrial,Lab,12.5,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Mortality,% mortality in immature stages at temperature x,0,,Terrestrial,Lab,17,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Mortality,% mortality in immature stages at temperature x,0,,Terrestrial,Lab,22,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Mortality,% mortality in immature stages at temperature x,4,,Terrestrial,Lab,24,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Mortality,% mortality in immature stages at temperature x,12.5,,Terrestrial,Lab,26,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Mortality,% mortality in immature stages at temperature x,100,,Terrestrial,Lab,28,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Longevity,Life span at temperature x,55.2,Days,Terrestrial,Lab,12.5,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Longevity,Life span at temperature x,32.7,Days,Terrestrial,Lab,17,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Longevity,Life span at temperature x,21.9,Days,Terrestrial,Lab,22,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Longevity,Life span at temperature x,18.1,Days,Terrestrial,Lab,24,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Longevity,Life span at temperature x,17.1,Days,Terrestrial,Lab,26,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Reproductive Rate,Net Reproductive Rate at temperature x,43.7,,Terrestrial,Lab,12.5,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Reproductive Rate,Net Reproductive Rate at temperature x,57.2,,Terrestrial,Lab,17,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Reproductive Rate,Net Reproductive Rate at temperature x,44.8,,Terrestrial,Lab,22,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
Shu-sheng and Hughes 1987,Reproductive Rate,Net Reproductive Rate at temperature x,41.3,,Terrestrial,Lab,24,Celsius,,Canberra,Organism,35.2809 S,149.13 E,Hyperomyzus lactucae,Blackcurrant-Sowthistle Aphid,,,,Sonchus Oleruceus,Sowthistle Plant,Flower,,,"Shu-sheng, Liu, and R. D. Hughes. 1987. ""The Influence Of Temperature And Photoperiod On The Development, Survival And Reproduction Of The Sowthistle Aphid, Hyperomyzus Lactucae"". Entomologia Experimentalis Et Applicata 43 (2): 31-38. doi:10.1111/j.1570-7458.1987.tb01043.x.",Table 1,
